category,id,date,rank,ratings
Aftershave,ASCF8U4GGFQH9YNW,2021-10-02,30.0,94.0
Aftershave,ASCF8U4GGFQH9YNW,2021-10-03,67.0,94.0
Aftershave,ASCF8U4GGFQH9YNW,2021-10-05,77.0,94.0
Aftershave,ASCFE8HFEMP7FHKY,2021-10-01,105.0,67.0
Aftershave,ASCFE8HFEMP7FHKY,2021-10-02,109.0,67.0
Aftershave,ASCFE8HFEMP7FHKY,2021-10-03,106.0,67.0
Aftershave,ASCFE8HFEMP7FHKY,2021-10-04,106.0,68.0
Aftershave,ASCFFYR7BEQYQJHX,2021-10-02,143.0,15.0
Aftershave,ASCFGCCEPFXZZMJX,2021-10-01,118.0,34.0
Aftershave,ASCFGCCEPFXZZMJX,2021-10-02,119.0,34.0
Aftershave,ASCFGCCEPFXZZMJX,2021-10-04,105.0,34.0
Aftershave,ASLD96KZ9HWECGWT,2021-10-01,77.0,510.0
Aftershave,ASLD96KZ9HWECGWT,2021-10-03,43.0,511.0
Aftershave,ASLD96KZ9HWECGWT,2021-10-04,46.0,511.0
Aftershave,ASLD96KZ9HWECGWT,2021-10-05,41.0,511.0
Aftershave,ASLD96KZ9SCBXPWV,2021-10-01,11.0,3201.0
Aftershave,ASLD96KZ9SCBXPWV,2021-10-02,7.0,3203.0
Aftershave,ASLD96KZ9SCBXPWV,2021-10-03,7.0,3203.0
Aftershave,ASLD96KZ9SCBXPWV,2021-10-04,9.0,3206.0
Aftershave,ASLD96KZ9SCBXPWV,2021-10-05,10.0,3216.0
Aftershave,ASLD96KZAAQB9GDM,2021-10-01,5.0,2518.0
Aftershave,ASLD96KZAAQB9GDM,2021-10-02,5.0,2522.0
Aftershave,ASLD96KZAAQB9GDM,2021-10-03,5.0,2544.0
Aftershave,ASLD96KZAAQB9GDM,2021-10-04,7.0,2557.0
Aftershave,ASLD96KZAAQB9GDM,2021-10-05,8.0,2575.0
Aftershave,ASLD96KZBBUYYSZT,2021-10-02,289.0,113.0
Aftershave,ASLD96KZBBUYYSZT,2021-10-03,275.0,113.0
Aftershave,ASLD96KZBBUYYSZT,2021-10-04,202.0,113.0
Aftershave,ASLD96KZENBJRJRP,2021-10-01,19.0,994.0
Aftershave,ASLD96KZENBJRJRP,2021-10-02,21.0,994.0
Aftershave,ASLD96KZENBJRJRP,2021-10-03,17.0,996.0
Aftershave,ASLD96KZENBJRJRP,2021-10-04,24.0,997.0
Aftershave,ASLD96KZENBJRJRP,2021-10-05,24.0,997.0
Aftershave,ASLD96KZFSYZUDZZ,2021-10-01,14.0,1157.0
Aftershave,ASLD96KZFSYZUDZZ,2021-10-02,18.0,1157.0
Aftershave,ASLD96KZFSYZUDZZ,2021-10-03,11.0,1157.0
