Product_ID,Date,restocking_events
3536439,2021-11-20,1
3536439,2021-11-22,1
3536440,2021-11-16,1
3536440,2021-11-18,1
3536440,2021-11-19,1
3536440,2021-11-20,1
3536441,2021-11-16,1
3536441,2021-11-18,1
3536441,2021-11-19,1
3536441,2021-11-20,1
3536441,2021-11-21,1
3536442,2021-11-15,1
3536442,2021-11-17,1
3536442,2021-11-19,1
3536443,2021-11-16,1
3536443,2021-11-17,1
3536443,2021-11-19,1
3536443,2021-11-25,1
3536443,2021-11-30,1
3536444,2021-11-14,1
3536444,2021-11-16,1
3536444,2021-11-17,1
3536444,2021-11-19,1
3536445,2021-11-16,1
3536445,2021-11-17,1
3536445,2021-11-19,1
3536445,2021-11-29,1
3536446,2021-11-16,1
3536446,2021-11-17,1
3536446,2021-11-18,1
3536446,2021-11-25,1
3592141,2021-11-16,1
3592141,2021-11-18,1
3592141,2021-11-19,2
3592142,2021-11-15,2
3592142,2021-11-18,1
3592142,2021-11-19,1
3592142,2021-11-25,2
3592142,2021-11-28,1
3592142,2021-11-30,1
3592143,2021-11-14,1
3592143,2021-11-15,1
3592143,2021-11-18,1
3592143,2021-11-19,1
3592143,2021-11-25,1
3592143,2021-11-28,1
3592143,2021-11-30,1
3592144,2021-11-15,1
3592144,2021-11-17,1
3592144,2021-11-21,1
3592144,2021-11-22,1
3592144,2021-11-23,1
3592144,2021-11-26,1
3630916,2021-11-20,1
3630916,2021-11-21,1
3630917,2021-11-20,1
3630917,2021-11-21,1
3630917,2021-11-28,1
3630918,2021-11-20,1
3630918,2021-11-21,1
3630918,2021-11-29,1
405742,2021-11-18,1
405742,2021-11-23,1
405742,2021-11-24,1
405742,2021-11-26,2
405742,2021-11-28,2
405742,2021-11-29,1
405742,2021-11-30,2
405744,2021-11-27,1
405747,2021-11-14,1
405747,2021-11-16,1
405747,2021-11-17,1
405747,2021-11-18,1
405747,2021-11-19,2
405747,2021-11-21,1
405747,2021-11-27,2
405747,2021-11-28,2
405747,2021-11-29,1
405750,2021-11-14,1
405750,2021-11-16,1
405750,2021-11-18,1
405750,2021-11-20,1
405750,2021-11-22,1
405750,2021-11-30,1
458698,2021-11-14,1
458698,2021-11-16,1
458698,2021-11-18,1
458698,2021-11-20,1
458698,2021-11-27,1
458698,2021-11-30,1
458699,2021-11-16,1
458699,2021-11-20,1
458699,2021-11-29,1
458723,2021-11-14,1
458723,2021-11-16,1
458723,2021-11-18,1
458723,2021-11-20,1
458723,2021-11-22,1
458723,2021-11-24,1
465245,2021-11-16,1
465245,2021-11-18,1
465245,2021-11-19,1
465245,2021-11-30,1
472487,2021-11-22,1
472487,2021-11-25,1
493084,2021-11-15,1
493084,2021-11-16,1
493084,2021-11-18,1
493084,2021-11-20,1
493084,2021-11-22,1
493084,2021-11-29,1
